word_en,word_fr,concept_id
bomb,bombe,n02866578
bomb,bombe,n02867592
bomb,bombe,n07365193
bomb,bombe,v01131902
bomb,bombe,v02523521
bomber jacket,bomber,n02867966
bon mot,bon mot,n06776783
bon vivant,bon vivant,n10061656
bon voyage,bon voyage,n06629858
bonbon,bonbon,n07599649
bonhomie,bonhomie,n04654652
bonus,bonus,n05829656
bonus,bonus,n13273154
boo-boo,bobo,n00074790
bookmaker,bookmaker,n09866222
bookmaker,bookmaker,n09866354
boom,boom,n02871631
bordeaux,bordeaux,n07895237
bordelaise,bordelaise,n07835823
boudoir,boudoir,n02878534
bouillabaisse,bouillabaisse,n07591586
bouillon,bouillon,n07584938
boule,boule,n02878628
boulevard,boulevard,n02763472
bound,bondir,v01963942
bouquet,bouquet,n02879087
bouquet,bouquet,n04980463
bourdon,bourdon,n03245724
bourgeois,bourgeois,a00260695
bourgeois,bourgeois,a00260780
bourgeois,bourgeois,a00297598
bourgeois,bourgeois,n09869830
bourgeois,bourgeois,n09882716
bourgeoisie,bourgeoisie,n08181658
boutique,boutique,n02879309
boutonniere,boutonnière,n02879422
bouvier des flandres,bouvier des flandres,n02106382
bowling,bowling,n00041740
bowling,bowling,n00104976
bowling,bowling,n00461782
boycott,boycott,n00206130
boycott,boycott,v02465494
boycott,boycotter,n00206130
boycott,boycotter,v02465494
brassard,brassard,n02892392
brasserie,brasserie,n02892499
bravado,bravade,n06889591
brave,brave,a00250119
brave,brave,a00262792
breton,breton,n06961771
breton,breton,n09709001
briar,bruyère,n12227658
briard,briard,n02105251
bric-a-brac,bric-à-brac,n02897692
brick,brique,n02897820
brick,brique,n09874428
bridge,bridge,n00490569
bridge,bridge,n02899257
bridge,bridge,n02899569
bridge,bridge,n02899808
bridge,bridge,n03831382
bridge,bridge,v01296324
bridge,bridge,v01915131
bridge,bridge,v02623194
brie,brie,n07852614
brigade,brigade,n08213978
brigadier,brigadier,n09875540
brilliant,brillant,a00402855
brilliant,brillant,a02009688
brioche,brioche,n07691539
briquet,briquette,n02902411
briquette,briquette,n02902411
brochette,brochette,n02903126
brochure,brochure,n06413889
bromine,brome,n14632129
brouhaha,brouhaha,n00552568
brouhaha,brouhaha,n07385660
brumaire,brumaire,n15176161
brumous,brumeux,a00461609
brunch,brunch,n07574923
brunch,brunch,v01185604
brusque,brusque,a00640660
brut,brut,a02368068
buccaneer,boucanier,n10435367
buccaneer,boucanier,v02616012
budge,bouger,v01893988
budget,budget,n13421462
budget,budget,n13421832
budget,budget,v00724029
bug,bogue,n02236896
bulldog,bouledogue,n02108672
bulldog,bouledogue,v01108815
bulldog,bouledogue,v01119030
bulldozer,bulldozer,n02916179
bulletin,bulletin,n06682290
bunker,bunker,n02920369
bureau de change,bureau de change,n08002125
bureau,bureau,n03015254
bureau,bureau,n08337324
bureaucrat,bureaucrate,n09880427
burette,burette,n02921592
burgundy,bourgogne,n04963905
burgundy,bourgogne,n07893891
burin,burin,n02922461
burlesque,burlesque,a02873654
burlesque,burlesque,n07017999
burlesque,burlesque,v00849939
burnoose,burnous,n02923535
business,business,n08401554
businessman,businessman,n09882007
businesswoman,businesswoman,n09882615
bustier,bustier,n02926426
butte,butte,n09230202
cabal,cabale,n05908882
cabaret,cabaret,n00520672
cabaret,cabaret,n02931417
cabernet,cabernet,n07895710
cabin,cabine,n02932019
cabin,cabine,n02932227
cabin,cabine,v01302577
cabochon,cabochon,n14700046
cabriolet,cabriolet,n02931013
cachalot,cachalot,n02067240
cachexia,cachexie,n14548105
cachou,cachou,n07607832
cacophony,cacophonie,n04984938
cacophony,cacophonie,n07377473
cadastral,cadastral,a02673022
cadastre,cadastre,n06502192
cadaveric,cadavérique,a02673139
caddy,caddy,n02935387
cadence,cadence,n04991879
cadence,cadence,n07045928
cadence,cadence,n07094093
cadet,cadet,n09886540
cadre,cadre,n08242100
cadre,cadre,n08358594
caffeine,caféine,n14761122
calabash,calebasse,n03449451
calamine,calamine,n14678406
calamint,calament,n12842887
calibre,calibre,n04728068
calibre,calibre,n05103283
calligraphy,calligraphie,n06403969
calorie,calorie,n13726296
calorie,calorie,n13726562
calque,calque,n06301445
